commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Walking / Cycling,10.7,1,0.685,Standard Office Laptop,9.6,3.1,Budget Phone (4000 mAh),3,Dormitory (Shared),1.794,3.0,4,1.9,Sometimes,8.0,Medium/Large Dog,Dormitory / Outsourced,3.742,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Moderate Meat,1,No,Sometimes (1-2/week),1-2 bottles/day,5.58,12.406
Marmaray + Metro (cross-city),40.5,0,1.134,Desktop Office PC,1.2,5.9,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.844,0.0,0,2.7,Strict Recycler,14.0,Small Dog,Dormitory / Outsourced,1.249,3,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.955,Heavy Meat Eater,3,Yes,Sometimes (1-2/week),1-2 bottles/day,7.9,14.082
Personal Car (Gasoline),12.3,0,2.362,Desktop Gaming PC,0.8,3.2,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.168,0.0,0,3.3,Sometimes,14.0,Cat (Indoor),Dormitory / Outsourced,2.032,3,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.955,Heavy Meat Eater,2,No,Sometimes (1-2/week),1-2 bottles/day,7.24,15.757
Personal Car (Diesel),39.7,0,6.789,Tablet Only,1.4,2.9,Budget Phone (4000 mAh),2,Dormitory (Shared),1.547,0.0,2,2.5,Strict Recycler,14.0,None,Dormitory / Outsourced,0.471,2,Fast Fashion,Never,1.0,Vegetarian,3,No,Sometimes (1-2/week),1-2 bottles/day,3.9,13.707
Personal Car (Gasoline),32.3,0,6.202,Ultrabook / Thin Laptop,0.2,5.3,Flagship Phone (5000 mAh),2,Family Home (High Usage),6.601,4.0,0,4.7,Sometimes,13.0,Cat (Indoor),Medium (3-4 cycles/wk),2.252,4,Minimal / Capsule,Rarely (1-2/yr),1.001,Pescatarian,3,Yes,Frequently (3+/week),Tap / Filtered (0),5.547,21.603
Personal Car (Diesel),11.5,0,1.966,Tablet Only,0.3,4.2,Budget Phone (4000 mAh),1,Family Home (High Usage),6.54,2.0,3,3.8,Strict Recycler,9.0,Medium/Large Dog,High (5+ cycles/wk),3.085,3,Designer / Luxury,Sometimes (3-6/yr),2.255,Vegetarian,4,No,Rarely (1-2/month),Tap / Filtered (0),3.765,17.612
Personal Car (Diesel),10.5,1,2.48,Desktop Gaming PC,1.3,6.0,Budget Phone (4000 mAh),3,Dormitory (Shared),2.726,0.0,2,0.6,Sometimes,11.0,None,Medium (3-4 cycles/wk),1.216,2,Vintage / Thrift,Frequently (monthly),0.314,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,10.442
Personal Car (Hybrid),7.9,0,0.869,Mid-Range Gaming Laptop,3.6,3.9,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.616,2.0,4,3.8,Sometimes,17.0,None,Medium (3-4 cycles/wk),2.373,2,Fast Fashion,Rarely (1-2/yr),1.001,Vegetarian,2,Yes,Sometimes (1-2/week),Tap / Filtered (0),4.32,13.179
Bus Only,7.8,0,0.819,High-End Gaming Laptop,5.8,3.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.089,0.0,0,3.9,Sometimes,17.0,None,Medium (3-4 cycles/wk),1.665,3,Streetwear / Heavy Denim,Never,1.95,Pescatarian,5,No,Rarely (1-2/month),1-2 bottles/day,4.945,11.468
Electric Scooter / E-Bike,19.1,1,0.971,Ultrabook / Thin Laptop,2.7,4.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.621,0.0,2,2.3,Strict Recycler,6.0,None,High (5+ cycles/wk),-0.012,4,Minimal / Capsule,Rarely (1-2/yr),1.001,Heavy Meat Eater,3,No,Rarely (1-2/month),Tap / Filtered (0),7.105,10.687
Personal Car (Hybrid),14.7,1,2.302,Ultrabook / Thin Laptop,0.3,3.3,Budget Phone (4000 mAh),1,Dormitory (Shared),1.559,3.0,1,0.8,Sometimes,4.0,None,Medium (3-4 cycles/wk),0.431,1,Minimal / Capsule,Never,0.25,Heavy Meat Eater,5,No,Rarely (1-2/month),Tap / Filtered (0),7.225,11.767
Walking / Cycling,9.6,3,2.055,Mid-Range Gaming Laptop,2.8,3.1,Budget Phone (4000 mAh),2,Family Home (High Usage),6.836,2.0,5,3.0,Never,8.0,None,Dormitory / Outsourced,1.945,2,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.305,Pescatarian,1,Yes,Frequently (3+/week),Tap / Filtered (0),5.427,17.568
Personal Car (Hybrid),5.0,2,1.92,Desktop Gaming PC,2.5,5.2,Flagship Phone (5000 mAh),1,Family Home (High Usage),7.778,1.0,0,3.0,Sometimes,17.0,None,High (5+ cycles/wk),1.817,9,Designer / Luxury,Never,6.75,Moderate Meat,2,No,Rarely (1-2/month),Tap / Filtered (0),5.445,23.71
Metrobüs,16.0,2,2.41,High-End Gaming Laptop,4.1,6.7,Budget Phone (4000 mAh),1,Dormitory (Shared),2.219,2.0,0,1.3,Never,18.0,Medium/Large Dog,Low (1-2 cycles/wk),4.526,4,Fast Fashion,Never,2.0,Pescatarian,0,Yes,Rarely (1-2/month),5+ bottles/day,5.525,16.68
Metrobüs,10.7,1,1.38,Ultrabook / Thin Laptop,4.4,3.6,Budget Phone (4000 mAh),3,Dormitory (Shared),1.638,0.0,0,0.8,Sometimes,7.0,None,High (5+ cycles/wk),0.673,1,Fast Fashion,Rarely (1-2/yr),0.501,Moderate Meat,4,No,Sometimes (1-2/week),Tap / Filtered (0),5.64,9.833
Electric Scooter / E-Bike,13.0,1,0.88,High-End Gaming Laptop,5.1,2.5,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),2.031,0.0,0,2.9,Sometimes,14.0,Cat (Indoor),Medium (3-4 cycles/wk),2.16,5,Designer / Luxury,Rarely (1-2/yr),3.751,Pescatarian,0,No,Rarely (1-2/month),1-2 bottles/day,4.645,13.467
Personal Car (Gasoline),18.4,1,4.218,Ultrabook / Thin Laptop,1.3,3.8,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.293,1.0,4,2.7,Sometimes,21.0,None,Medium (3-4 cycles/wk),2.689,1,Vintage / Thrift,Rarely (1-2/yr),0.151,Heavy Meat Eater,0,Yes,Frequently (3+/week),Tap / Filtered (0),7.767,19.117
Bus Only,2.6,0,0.273,Desktop Gaming PC,3.0,4.8,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.493,3.0,1,2.4,Never,14.0,None,Dormitory / Outsourced,1.869,5,Designer / Luxury,Rarely (1-2/yr),3.751,Heavy Meat Eater,3,Yes,Rarely (1-2/month),3-4 bottles/day,7.985,19.372
Electric Scooter / E-Bike,5.1,0,0.076,Desktop Office PC,0.8,4.4,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.755,1.0,1,2.9,Strict Recycler,19.0,None,Medium (3-4 cycles/wk),1.0,5,Streetwear / Heavy Denim,Sometimes (3-6/yr),3.255,Vegetarian,4,Yes,Sometimes (1-2/week),3-4 bottles/day,4.72,10.806
Personal Car (Diesel),74.3,0,12.705,Ultrabook / Thin Laptop,14.0,5.8,Mid-Range Phone (4500 mAh),2,Apartment (Electric),4.1,1.0,5,1.3,Strict Recycler,17.0,None,Dormitory / Outsourced,1.228,5,Fast Fashion,Rarely (1-2/yr),2.501,Heavy Meat Eater,1,Yes,Rarely (1-2/month),1-2 bottles/day,7.705,28.24
Ferry + Bus,10.4,3,3.043,Desktop Office PC,0.5,5.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.77,3.0,1,2.3,Sometimes,7.0,None,High (5+ cycles/wk),0.992,5,Fast Fashion,Rarely (1-2/yr),2.501,Pescatarian,1,Yes,Sometimes (1-2/week),3-4 bottles/day,5.54,13.847
Bus Only,2.6,1,0.958,Ultrabook / Thin Laptop,0.0,2.3,Flagship Phone (5000 mAh),2,Family Home (High Usage),6.556,0.0,1,3.8,Never,11.0,None,High (5+ cycles/wk),1.904,1,Fast Fashion,Rarely (1-2/yr),0.501,Moderate Meat,3,No,Frequently (3+/week),Tap / Filtered (0),5.747,15.666
Bus Only,5.4,2,1.937,Standard Office Laptop,0.4,3.3,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.314,0.0,3,2.5,Never,12.0,None,High (5+ cycles/wk),2.266,5,Fast Fashion,Rarely (1-2/yr),2.501,Vegan,6,No,Sometimes (1-2/week),Tap / Filtered (0),3.06,14.078
Personal Car (Diesel),84.7,1,15.169,Desktop Gaming PC,3.7,1.9,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.132,3.0,3,0.5,Sometimes,13.0,Cat (Indoor),Low (1-2 cycles/wk),2.355,1,Fast Fashion,Rarely (1-2/yr),0.501,Vegetarian,2,No,Sometimes (1-2/week),Tap / Filtered (0),3.72,26.877
Personal Car (Diesel),9.1,1,2.241,Mid-Range Gaming Laptop,1.5,5.7,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.2,1.0,0,2.3,Sometimes,17.0,None,Low (1-2 cycles/wk),1.457,3,Fast Fashion,Rarely (1-2/yr),1.501,Moderate Meat,0,Yes,Never,Tap / Filtered (0),5.9,15.299
Marmaray + Metro (cross-city),33.5,0,0.938,Desktop Office PC,1.5,1.0,Mid-Range Phone (4500 mAh),3,Apartment (Electric),3.949,0.0,1,1.4,Sometimes,14.0,None,Low (1-2 cycles/wk),1.251,9,Fast Fashion,Sometimes (3-6/yr),4.505,Pescatarian,1,No,Frequently (3+/week),Tap / Filtered (0),4.827,15.469
Electric Scooter / E-Bike,16.2,0,0.243,Mid-Range Gaming Laptop,7.8,2.1,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.047,1.0,2,3.4,Sometimes,3.0,Cat (Indoor),Medium (3-4 cycles/wk),1.444,4,Designer / Luxury,Rarely (1-2/yr),3.001,Heavy Meat Eater,1,Yes,Sometimes (1-2/week),Tap / Filtered (0),7.66,14.395
Personal Car (Diesel),10.6,2,3.182,Desktop Gaming PC,6.3,3.2,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),3.094,1.0,5,3.5,Sometimes,5.0,None,Medium (3-4 cycles/wk),1.299,10,Vintage / Thrift,Sometimes (3-6/yr),1.505,Moderate Meat,3,No,Frequently (3+/week),1-2 bottles/day,5.867,14.948
Metrobüs,25.6,1,2.349,Tablet Only,0.9,4.8,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.552,0.0,0,0.5,Never,3.0,None,Dormitory / Outsourced,0.428,1,Vintage / Thrift,Rarely (1-2/yr),0.151,Vegetarian,0,Yes,Sometimes (1-2/week),1-2 bottles/day,4.32,13.8
Walking / Cycling,2.8,1,0.685,Mid-Range Gaming Laptop,0.6,3.2,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.726,0.0,0,4.1,Never,13.0,None,Medium (3-4 cycles/wk),1.776,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Pescatarian,4,Yes,Rarely (1-2/month),Tap / Filtered (0),5.365,11.503
Ferry + Bus,5.4,2,1.883,Desktop Gaming PC,4.7,3.5,Budget Phone (4000 mAh),2,Dormitory (Shared),2.866,2.0,1,1.3,Sometimes,13.0,None,High (5+ cycles/wk),1.514,1,Fast Fashion,Sometimes (3-6/yr),0.505,Moderate Meat,1,No,Sometimes (1-2/week),Tap / Filtered (0),5.46,12.228
Electric Scooter / E-Bike,10.5,0,0.158,Mid-Range Gaming Laptop,5.9,3.5,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.743,0.0,0,5.3,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.342,5,Streetwear / Heavy Denim,Never,3.25,Heavy Meat Eater,2,No,Never,1-2 bottles/day,7.14,16.632
Metrobüs,5.8,5,3.802,Desktop Office PC,2.0,4.3,Budget Phone (4000 mAh),1,Apartment (Electric),4.105,1.0,0,2.9,Sometimes,7.0,None,Medium (3-4 cycles/wk),0.633,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Vegetarian,4,No,Sometimes (1-2/week),1-2 bottles/day,3.96,13.151
Personal Car (Gasoline),9.9,1,2.586,Standard Office Laptop,2.5,2.2,Flagship Phone (5000 mAh),2,Apartment (Electric),3.923,0.0,0,1.1,Sometimes,15.0,None,Medium (3-4 cycles/wk),1.31,2,Fast Fashion,Rarely (1-2/yr),1.001,Moderate Meat,2,No,Rarely (1-2/month),Tap / Filtered (0),5.445,14.266
Personal Car (Diesel),27.0,1,5.302,Mid-Range Gaming Laptop,0.7,2.6,Mid-Range Phone (4500 mAh),3,Family Home (High Usage),6.709,2.0,2,1.3,Sometimes,16.0,Cat (Indoor),High (5+ cycles/wk),2.83,2,Streetwear / Heavy Denim,Never,1.3,Vegetarian,4,No,Rarely (1-2/month),Tap / Filtered (0),3.765,19.907
Personal Car (Diesel),16.3,1,3.472,Desktop Office PC,4.0,6.5,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.714,0.0,0,3.5,Strict Recycler,6.0,None,Medium (3-4 cycles/wk),-0.458,5,Vintage / Thrift,Rarely (1-2/yr),0.751,Pescatarian,3,No,Frequently (3+/week),1-2 bottles/day,5.067,13.547
Bus Only,37.8,0,3.969,Ultrabook / Thin Laptop,2.5,4.6,Budget Phone (4000 mAh),3,Dormitory (Shared),1.625,0.0,5,2.4,Strict Recycler,5.0,None,Medium (3-4 cycles/wk),0.215,2,Minimal / Capsule,Rarely (1-2/yr),0.501,Moderate Meat,3,No,Frequently (3+/week),Tap / Filtered (0),5.747,12.058
Metrobüs,17.1,0,1.112,Desktop Gaming PC,1.8,5.1,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),5.356,1.0,1,2.9,Sometimes,12.0,Small Dog,High (5+ cycles/wk),2.578,7,Streetwear / Heavy Denim,Frequently (monthly),4.564,Heavy Meat Eater,4,Yes,Frequently (3+/week),3-4 bottles/day,8.287,21.896
Bus Only,29.8,1,3.814,High-End Gaming Laptop,0.2,4.1,Flagship Phone (5000 mAh),1,Apartment (Electric),4.095,2.0,0,5.4,Never,21.0,Cat (Indoor),High (5+ cycles/wk),3.723,1,Minimal / Capsule,Sometimes (3-6/yr),0.255,Moderate Meat,1,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.06,17.947
Marmaray + Metro (cross-city),14.2,3,2.452,Tablet Only,6.2,3.8,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.591,1.0,1,2.0,Sometimes,20.0,None,Low (1-2 cycles/wk),1.907,0,Streetwear / Heavy Denim,Never,0.0,Vegan,2,No,Sometimes (1-2/week),Tap / Filtered (0),2.82,8.771
Bus Only,9.8,2,2.399,High-End Gaming Laptop,2.4,4.7,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.978,1.0,0,3.1,Sometimes,15.0,Small Dog,High (5+ cycles/wk),2.723,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Vegetarian,6,No,Sometimes (1-2/week),1-2 bottles/day,4.08,11.63
Marmaray + Metro (cross-city),41.9,0,1.173,Desktop Gaming PC,0.5,5.1,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.433,1.0,3,5.1,Sometimes,8.0,None,High (5+ cycles/wk),1.533,10,Vintage / Thrift,Never,1.5,Pescatarian,3,No,Never,5+ bottles/day,5.08,11.719
Marmaray + Metro (cross-city),9.1,1,0.94,Standard Office Laptop,2.3,5.3,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.369,0.0,5,3.4,Strict Recycler,16.0,None,High (5+ cycles/wk),1.549,1,Minimal / Capsule,Never,0.25,Moderate Meat,5,Yes,Frequently (3+/week),1-2 bottles/day,6.587,13.695
Personal Car (Diesel),18.9,0,3.232,Mid-Range Gaming Laptop,2.8,3.8,Budget Phone (4000 mAh),2,Apartment (Electric),4.174,0.0,0,0.6,Never,10.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.783,1,Streetwear / Heavy Denim,Sometimes (3-6/yr),0.655,Pescatarian,3,No,Frequently (3+/week),Tap / Filtered (0),4.947,16.791
Personal Car (Gasoline),25.5,0,4.896,Standard Office Laptop,1.9,5.4,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.375,2.0,0,3.8,Never,8.0,Small Dog,Medium (3-4 cycles/wk),2.406,6,Fast Fashion,Never,3.0,Moderate Meat,6,No,Sometimes (1-2/week),Tap / Filtered (0),5.76,20.437
Bus Only,26.8,1,3.499,High-End Gaming Laptop,3.2,0.3,Flagship Phone (5000 mAh),2,Family Home (High Usage),6.754,1.0,0,1.3,Strict Recycler,3.0,None,Medium (3-4 cycles/wk),-0.855,3,Streetwear / Heavy Denim,Never,1.95,Pescatarian,0,No,Frequently (3+/week),1-2 bottles/day,4.887,16.234
Metrobüs,6.6,1,1.114,Tablet Only,2.2,5.3,Budget Phone (4000 mAh),1,Dormitory (Shared),1.561,0.0,2,5.1,Never,13.0,Cat (Indoor),Dormitory / Outsourced,2.864,5,Fast Fashion,Frequently (monthly),2.514,Moderate Meat,4,No,Sometimes (1-2/week),Tap / Filtered (0),5.64,13.693
Marmaray + Metro (cross-city),31.1,0,0.871,Desktop Office PC,7.4,3.4,Budget Phone (4000 mAh),2,Family Home (High Usage),7.025,0.0,1,1.8,Sometimes,9.0,Cat (Indoor),Medium (3-4 cycles/wk),1.766,2,Minimal / Capsule,Sometimes (3-6/yr),0.505,Vegetarian,3,No,Rarely (1-2/month),1-2 bottles/day,3.825,13.991
Personal Car (Diesel),7.5,0,1.282,Tablet Only,0.1,4.8,Mid-Range Phone (4500 mAh),1,Apartment (Electric),3.845,2.0,3,7.5,Never,12.0,None,Dormitory / Outsourced,2.26,3,Designer / Luxury,Sometimes (3-6/yr),2.255,Vegetarian,0,No,Frequently (3+/week),1-2 bottles/day,3.887,13.529
Ferry + Bus,26.2,5,5.914,Desktop Gaming PC,0.3,3.0,Flagship Phone (5000 mAh),2,Dormitory (Shared),2.066,4.0,1,5.2,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.597,2,Designer / Luxury,Sometimes (3-6/yr),1.505,Moderate Meat,2,No,Rarely (1-2/month),Tap / Filtered (0),5.445,15.527
Electric Scooter / E-Bike,21.6,0,0.324,Desktop Gaming PC,0.5,2.0,Budget Phone (4000 mAh),3,Family Home (High Usage),6.937,2.0,0,1.8,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.196,3,Fast Fashion,Sometimes (3-6/yr),1.505,Vegetarian,3,No,Sometimes (1-2/week),Tap / Filtered (0),3.78,13.742
Personal Car (Gasoline),26.4,1,5.754,Standard Office Laptop,2.9,4.5,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.667,0.0,1,3.0,Sometimes,3.0,Small Dog,Medium (3-4 cycles/wk),1.482,6,Minimal / Capsule,Never,1.5,Moderate Meat,6,Yes,Rarely (1-2/month),3-4 bottles/day,6.565,16.967
Personal Car (Hybrid),6.4,1,1.389,Desktop Office PC,2.6,1.7,Mid-Range Phone (4500 mAh),2,Apartment (Electric),4.023,2.0,1,4.1,Never,17.0,None,Low (1-2 cycles/wk),2.246,6,Fast Fashion,Rarely (1-2/yr),3.001,Heavy Meat Eater,0,No,Sometimes (1-2/week),1-2 bottles/day,7.12,17.779
Ferry + Bus,22.5,0,2.138,Standard Office Laptop,5.6,3.4,Mid-Range Phone (4500 mAh),3,Apartment (Electric),4.021,0.0,3,4.2,Strict Recycler,15.0,Cat (Indoor),Dormitory / Outsourced,1.681,4,Streetwear / Heavy Denim,Rarely (1-2/yr),2.601,Heavy Meat Eater,6,No,Sometimes (1-2/week),3-4 bottles/day,7.64,18.081
Electric Scooter / E-Bike,31.8,0,0.477,Mid-Range Gaming Laptop,3.3,2.8,Mid-Range Phone (4500 mAh),3,Apartment (Electric),4.161,0.0,1,3.7,Never,11.0,None,Dormitory / Outsourced,1.57,8,Minimal / Capsule,Rarely (1-2/yr),2.001,Pescatarian,2,No,Sometimes (1-2/week),Tap / Filtered (0),4.72,12.929
Ferry + Bus,17.0,1,2.3,Ultrabook / Thin Laptop,1.8,3.7,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.294,0.0,0,4.9,Strict Recycler,15.0,None,High (5+ cycles/wk),0.698,2,Fast Fashion,Sometimes (3-6/yr),1.005,Vegetarian,1,Yes,Rarely (1-2/month),1-2 bottles/day,4.305,12.603
Bus Only,8.4,2,2.252,Desktop Office PC,12.0,5.2,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.32,2.0,0,2.8,Never,7.0,Cat (Indoor),High (5+ cycles/wk),2.18,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,11.758
Marmaray + Metro (cross-city),28.3,1,1.477,Ultrabook / Thin Laptop,0.8,3.3,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.278,2.0,5,2.4,Strict Recycler,12.0,Cat (Indoor),High (5+ cycles/wk),1.991,4,Streetwear / Heavy Denim,Never,2.6,Pescatarian,4,No,Sometimes (1-2/week),Tap / Filtered (0),4.84,15.187
Personal Car (Gasoline),16.1,1,3.776,Tablet Only,4.5,4.5,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.574,4.0,3,2.5,Never,16.0,None,Dormitory / Outsourced,2.432,4,Vintage / Thrift,Never,0.6,Heavy Meat Eater,1,Yes,Frequently (3+/week),1-2 bottles/day,7.947,16.328
Walking / Cycling,4.6,5,3.425,Mid-Range Gaming Laptop,1.4,5.1,Budget Phone (4000 mAh),1,Apartment (Electric),4.16,0.0,0,4.3,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.287,0,Vintage / Thrift,Never,0.0,Heavy Meat Eater,6,No,Never,3-4 bottles/day,7.54,15.411
Marmaray + Metro (cross-city),7.9,2,1.591,Ultrabook / Thin Laptop,2.6,3.1,Mid-Range Phone (4500 mAh),1,Apartment (Electric),3.891,0.0,0,3.5,Sometimes,10.0,None,High (5+ cycles/wk),1.121,4,Fast Fashion,Sometimes (3-6/yr),2.005,Moderate Meat,1,No,Never,Tap / Filtered (0),5.36,13.968
Walking / Cycling,10.3,1,0.685,High-End Gaming Laptop,3.2,3.1,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.925,0.0,2,3.4,Never,12.0,None,High (5+ cycles/wk),2.149,3,Designer / Luxury,Rarely (1-2/yr),2.251,Vegetarian,1,No,Never,3-4 bottles/day,3.84,15.85
Electric Scooter / E-Bike,42.7,1,1.325,Tablet Only,2.5,6.1,Flagship Phone (5000 mAh),3,Dormitory (Shared),1.596,2.0,0,4.2,Never,11.0,None,Dormitory / Outsourced,1.478,5,Designer / Luxury,Rarely (1-2/yr),3.751,Vegan,3,No,Frequently (3+/week),1-2 bottles/day,3.167,11.317
Personal Car (Diesel),37.8,1,7.149,Ultrabook / Thin Laptop,0.4,3.9,Mid-Range Phone (4500 mAh),2,Apartment (Electric),3.881,0.0,1,0.0,Sometimes,19.0,Cat (Indoor),Dormitory / Outsourced,2.517,6,Minimal / Capsule,Rarely (1-2/yr),1.501,Moderate Meat,3,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.18,21.228
Personal Car (Hybrid),37.7,1,4.832,Mid-Range Gaming Laptop,1.5,4.8,Budget Phone (4000 mAh),1,Family Home (High Usage),6.849,3.0,0,3.5,Strict Recycler,6.0,None,Dormitory / Outsourced,-0.537,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Vegetarian,1,Yes,Frequently (3+/week),3-4 bottles/day,4.707,16.456
Metrobüs,17.5,1,1.822,Ultrabook / Thin Laptop,2.1,4.8,Flagship Phone (5000 mAh),3,Apartment (Electric),3.933,4.0,2,3.3,Sometimes,9.0,None,High (5+ cycles/wk),1.437,0,Designer / Luxury,Sometimes (3-6/yr),0.005,Pescatarian,3,Yes,Sometimes (1-2/week),1-2 bottles/day,5.5,12.698
Marmaray + Metro (cross-city),28.2,1,1.475,Desktop Gaming PC,4.7,2.2,Budget Phone (4000 mAh),2,Dormitory (Shared),2.652,1.0,3,5.5,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.876,5,Designer / Luxury,Rarely (1-2/yr),3.751,Heavy Meat Eater,5,Yes,Rarely (1-2/month),1-2 bottles/day,7.945,16.699
Personal Car (Gasoline),6.7,0,1.286,Standard Office Laptop,1.5,2.9,Flagship Phone (5000 mAh),3,Dormitory (Shared),1.628,1.0,0,0.7,Sometimes,20.0,Small Dog,Medium (3-4 cycles/wk),2.912,5,Fast Fashion,Frequently (monthly),2.514,Moderate Meat,4,No,Sometimes (1-2/week),1-2 bottles/day,5.76,14.1
Ferry + Bus,15.0,1,2.11,High-End Gaming Laptop,6.3,4.6,Flagship Phone (5000 mAh),2,Dormitory (Shared),2.241,1.0,0,5.3,Sometimes,11.0,None,High (5+ cycles/wk),1.344,2,Fast Fashion,Frequently (monthly),1.014,Vegetarian,3,No,Rarely (1-2/month),1-2 bottles/day,3.825,10.533
Personal Car (Gasoline),20.4,0,3.917,Desktop Gaming PC,1.5,0.9,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.615,4.0,1,3.1,Strict Recycler,10.0,Cat (Indoor),High (5+ cycles/wk),1.21,3,Fast Fashion,Frequently (monthly),1.514,Moderate Meat,3,Yes,Rarely (1-2/month),3-4 bottles/day,6.385,17.641
Electric Scooter / E-Bike,7.0,0,0.105,Desktop Gaming PC,2.0,3.7,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.148,0.0,3,3.7,Never,12.0,None,Low (1-2 cycles/wk),2.011,10,Streetwear / Heavy Denim,Sometimes (3-6/yr),6.505,Vegan,4,No,Rarely (1-2/month),Tap / Filtered (0),2.865,16.634
Walking / Cycling,17.2,0,0.0,Mid-Range Gaming Laptop,4.0,2.7,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.872,0.0,0,5.5,Never,15.0,None,Medium (3-4 cycles/wk),2.052,2,Fast Fashion,Frequently (monthly),1.014,Moderate Meat,3,No,Rarely (1-2/month),Tap / Filtered (0),5.505,15.444
Ferry + Bus,48.5,1,5.292,Standard Office Laptop,2.2,5.7,Budget Phone (4000 mAh),2,Dormitory (Shared),1.684,2.0,3,3.8,Strict Recycler,14.0,None,Medium (3-4 cycles/wk),0.906,2,Fast Fashion,Rarely (1-2/yr),1.001,Heavy Meat Eater,1,No,Rarely (1-2/month),3-4 bottles/day,7.265,16.149
Metrobüs,22.0,1,2.115,Standard Office Laptop,8.1,4.5,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.787,1.0,0,3.6,Sometimes,25.0,None,Dormitory / Outsourced,2.322,2,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.305,Heavy Meat Eater,4,No,Never,3-4 bottles/day,7.42,14.949
Metrobüs,28.3,0,1.84,Desktop Office PC,2.7,5.8,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.61,0.0,0,3.4,Sometimes,14.0,Cat (Indoor),Low (1-2 cycles/wk),2.044,4,Streetwear / Heavy Denim,Frequently (monthly),2.614,Vegetarian,4,No,Rarely (1-2/month),Tap / Filtered (0),3.765,14.872
Marmaray + Metro (cross-city),2.7,1,0.761,Tablet Only,1.8,3.9,Flagship Phone (5000 mAh),1,Apartment (Electric),3.852,0.0,1,2.3,Sometimes,10.0,None,High (5+ cycles/wk),1.222,9,Fast Fashion,Frequently (monthly),4.514,Moderate Meat,0,No,Rarely (1-2/month),Tap / Filtered (0),5.325,15.673
